Name,Size at Posting,Created,Type,Likes,Retweets,total,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2
U.S. Olympic Team,1865911,2017-06-30 13:31:40 EDT,link,40,9,49,https://twitter.com/TeamUSA/status/880841277557923840,Take a look at the BEST performances in June! #TeamUSAAwards presented by Dow. ???? See who made the list ?? http://go.teamusa.org/2tsBPkz https://t.co/unfV45fdrn,TeamUSA,http://go.teamusa.org/2tsBPkz,http://www.teamusa.org/News/2017/June/30/Vote-On-Team-USAs-Top-Athletes-From-June,https://t.co/unfV45fdrn,https://twitter.com/TeamUSA/status/880841277557923840/photo/1
U.S. Olympic Team,1865911,2017-06-30 13:06:48 EDT,link,18,9,27,https://twitter.com/TeamUSA/status/880835021787062272,Tune in NOW for a special @LA2024 announcement with @kobebryant! ?? http://facebook.com/la2024/videos/923421894478364/ https://twitter.com/LA2024/status/880818965404033027,TeamUSA,http://facebook.com/la2024/videos/923421894478364/,https://www.facebook.com/la2024/videos/923421894478364/,https://twitter.com/LA2024/status/880818965404033027,https://twitter.com/LA2024/status/880818965404033027
U.S. Olympic Team,1865661,2017-06-30 12:25:11 EDT,photo,105,23,128,https://twitter.com/TeamUSA/status/880824547368460288,#FridayFeeling from #Phillips66Nats! ?? ?? #SCS2017 https://t.co/BY2VskZD78,TeamUSA,https://t.co/BY2VskZD78,https://twitter.com/TeamUSA/status/880824547368460288/photo/1,,
U.S. Olympic Team,1865661,2017-06-30 11:41:44 EDT,native_video,562,156,718,https://twitter.com/TeamUSA/status/880813612050153472,Happy birthday to the one and only - @MichaelPhelps! ?? Send him a HBD message ?? http://go.teamusa.org/2u70BEk https://t.co/rsg5nLHF4H,TeamUSA,https://t.co/rsg5nLHF4H,https://twitter.com/TeamUSA/status/880813612050153472/video/1,http://go.teamusa.org/2u70BEk,http://action.teamusa.org/page/s/happy-birthday-michael-phelps?utm_source=Phelps_Birthday_Twitter_Organic_063017&utm_medium=social&utm_campaign=Vieo
U.S. Olympic Team,1865661,2017-06-30 10:58:08 EDT,link,215,24,239,https://twitter.com/TeamUSA/status/880802640157978625,"In her 2??nd EVER 400m IM, @lgsmith19 surprised herself with a personal best time of 4:33.86 to take home ??! http://go.teamusa.org/2s7kOIS https://t.co/MXzzreojlX",TeamUSA,http://go.teamusa.org/2s7kOIS,http://www.teamusa.org/News/2017/June/29/Out-From-Ledeckys-Shadow-Leah-Smith-Wins-400-IM-Title-Beisel-Qualifies-for-Final-World-Team,https://t.co/MXzzreojlX,https://twitter.com/TeamUSA/status/880802640157978625/photo/1
U.S. Olympic Team,1865661,2017-06-30 10:39:41 EDT,link,66,19,85,https://twitter.com/TeamUSA/status/880797995771600898,?? VOTING IS LIVE! ?? Cast your vote for #TeamUSAAwards Best of June presented by @DowChemical. http://TeamUSA.org/Awards https://t.co/SGQtSDoKNs,TeamUSA,https://t.co/SGQtSDoKNs,https://twitter.com/TeamUSA/status/880797995771600898/photo/1,http://TeamUSA.org/Awards,http://awards.teamusa.org
U.S. Olympic Team,1865661,2017-06-30 10:24:29 EDT,link,65,9,74,https://twitter.com/TeamUSA/status/880794171849756672,#TeamUSA's @Lexi is ranked No. 3 in the ?? heading into the @KPMGWomensPGA! ?? LIVE on @GolfChannel at 12:30p ET http://go.teamusa.org/2s9GrrK https://t.co/Qk45rzi0Pq,TeamUSA,http://go.teamusa.org/2s9GrrK,http://www.teamusa.org/News/2017/June/30/Five-For-Friday-Golf,https://t.co/Qk45rzi0Pq,https://twitter.com/TeamUSA/status/880794171849756672/photo/1
U.S. Olympic Team,1865661,2017-06-30 09:58:50 EDT,link,476,134,610,https://twitter.com/TeamUSA/status/880787717826592769,HAPPY BIRTHDAY TO THE GOAT! ?? Join us in wishing @MichaelPhelps a very HAPPY BIRTHDAY! Send him a message now! ?? http://go.teamusa.org/2sjAAzm https://t.co/bRZl1XxWar,TeamUSA,https://t.co/bRZl1XxWar,https://t.co/bRZl1XxWar,http://go.teamusa.org/2sjAAzm,http://action.teamusa.org/page/s/happy-birthday-michael-phelps?utm_source=Phelps_Birthday_Twitter_Organic_063017&utm_medium=social&utm_campaign=0
U.S. Olympic Team,1865661,2017-06-30 09:47:10 EDT,link,45,7,52,https://twitter.com/TeamUSA/status/880784782015307776,.@chasekalisz's performance in Rio may be the fuel to help him achieve ?? - at #FINABudapest2017 and at #Tokyo2020! http://go.teamusa.org/2s7J0e0 https://t.co/QWslvynnSH,TeamUSA,http://go.teamusa.org/2s7J0e0,http://www.teamusa.org/News/2017/June/29/Chase-Kalisz-Dominates-400-IM-At-Nationals-With-Fastest-Time-In-The-World,https://t.co/QWslvynnSH,https://t.co/QWslvynnSH
U.S. Olympic Team,1865661,2017-06-29 22:30:01 EDT,link,90,22,112,https://twitter.com/TeamUSA/status/880614369570070528,"Everyone is chasing @chasekalisz, the 400m IM national champion, but no one can catch him! #Phillips66Nats #SCS2017 http://go.teamusa.org/2s7J0e0 https://t.co/sYONENsbH2",TeamUSA,http://go.teamusa.org/2s7J0e0,http://www.teamusa.org/News/2017/June/29/Chase-Kalisz-Dominates-400-IM-At-Nationals-With-Fastest-Time-In-The-World,https://t.co/sYONENsbH2,https://twitter.com/TeamUSA/status/880614369570070528/photo/1
U.S. Olympic Team,1865661,2017-06-29 22:01:28 EDT,photo,118,14,132,https://twitter.com/TeamUSA/status/880607185885167617,.@lgsmith19 dropped 2 seconds off her prelim time to win her FIRST national title in the 400m IM at #Phillips66Nats! ????????? https://t.co/uCBCbLaKTT,TeamUSA,https://t.co/uCBCbLaKTT,https://twitter.com/TeamUSA/status/880607185885167617/photo/1,,
U.S. Olympic Team,1865661,2017-06-29 21:04:07 EDT,link,60,22,82,https://twitter.com/TeamUSA/status/880592754304323585,Tomorrow is a BIG DAY for @LA2024! Set your ? and tune in for the announcement with @kobebryant at 10 a.m. PT! ?? http://www.facebook.com/la2024/videos/923421894478364/ https://twitter.com/LA2024/status/880539622962380801,TeamUSA,https://twitter.com/LA2024/status/880539622962380801,https://twitter.com/LA2024/status/880539622962380801,http://www.facebook.com/la2024/videos/923421894478364/,https://www.facebook.com/la2024/videos/923421894478364/
U.S. Olympic Team,1865661,2017-06-29 20:20:53 EDT,tweet,122,43,165,https://twitter.com/TeamUSA/status/880581873965182982,"Justin Ress wraps up the evening claiming 1st in the men’s 50m backstroke in 24.41, the fastest time in the world this year! #SCS2017 ?????????",TeamUSA,,,,
U.S. Olympic Team,1865661,2017-06-29 20:11:16 EDT,link,96,25,121,https://twitter.com/TeamUSA/status/880579452660535296,.@_Hannah_Stevens takes home the 50m back title! ?? #SCS3017 #Phillips66Nats The men are up next! LIVE ?? http://UsaSwimming.org https://t.co/EqxedyL5wi,TeamUSA,https://t.co/EqxedyL5wi,https://twitter.com/TeamUSA/status/880579452660535296/photo/1,http://UsaSwimming.org,https://www.usaswimming.org/
U.S. Olympic Team,1865661,2017-06-29 20:07:38 EDT,tweet,53,9,62,https://twitter.com/TeamUSA/status/880578536884625408,???? fast! @_Hannah_Stevens wins the women's 50m backstroke with a time of 27.63! ????????? #SCS2017,TeamUSA,,,,
U.S. Olympic Team,1865661,2017-06-29 19:52:01 EDT,photo,93,15,108,https://twitter.com/TeamUSA/status/880574608499515392,Impressive race! @KwCordes takes 1st in the men’s 50m breaststroke! ????????? #SCS2017 https://t.co/t2RpxiJMJa,TeamUSA,https://t.co/t2RpxiJMJa,https://twitter.com/TeamUSA/status/880574608499515392/photo/1,,
U.S. Olympic Team,1865661,2017-06-29 19:42:27 EDT,photo,160,33,193,https://twitter.com/TeamUSA/status/880572199698038785,"Way to go @_king_lil, dominating in the women’s 50m breaststroke and setting a new American record of 29.66!????????? #SCS2017 #Phillips66Nats https://t.co/Us8LfhNrBg",TeamUSA,https://t.co/Us8LfhNrBg,https://twitter.com/TeamUSA/status/880572199698038785/photo/1,,
U.S. Olympic Team,1865661,2017-06-29 19:27:55 EDT,photo,157,31,188,https://twitter.com/TeamUSA/status/880568541581254656,"?? Say hello to @kelsiwhirl, the women's 100m butterfly NATIONAL CHAMPION! #SCS2017 #phillips66nats https://t.co/DB8poNFfoe",TeamUSA,https://t.co/DB8poNFfoe,https://twitter.com/TeamUSA/status/880568541581254656/photo/1,,
U.S. Olympic Team,1865661,2017-06-29 19:25:05 EDT,photo,117,19,136,https://twitter.com/TeamUSA/status/880567828688117761,"Congrats @caelebdressel, 1st place in the men’s 100m butterfly with the fastest time in the world this year! ???? ????? #SCS2017 https://t.co/F6oWrEdWVa",TeamUSA,https://t.co/F6oWrEdWVa,https://twitter.com/TeamUSA/status/880567828688117761/photo/1,,
U.S. Olympic Team,1865661,2017-06-29 19:13:10 EDT,photo,39,7,46,https://twitter.com/TeamUSA/status/880564831325171712,"?? Say hello to @kelsiwhirl, the women's 100m freestyle NATIONAL CHAMPION! #SCS2017 #phillips66nats https://t.co/I1XGM8weWi",TeamUSA,https://t.co/I1XGM8weWi,https://twitter.com/TeamUSA/status/880564831325171712/photo/1,,
